SIN ,Model # ,Description ,GSA Rate
132-8 ,NAC-3001 ,NAC MPEG-1 Ethernet Live Streaming Video Encoder Includes MPEG-1 firmware ONLY! ,"$3,859.89 "
132-8 ,NAC-3002 ,"NAC™ Ultra Low-Latency (LL), MPEG -2 High Quality Full Resolution Ethernet Live Streaming Video Encoder Includes MPEG-1and LL MPEG-2 firmware ONLY! ","$8,496.41 "
132-8 ,NAC-3003 ,"NAC™ Standard Latency, MPEG -2 Superior Quality Full Resolution Ethernet Live Streaming Video Encoder Includes MPEG-2 and MPEG-1 firmware ONLY! ","$6,950.90 "
132-8 ,NAC-3004 ,NAC™ Ultra Low Latency MPEG -2 High Quality Full Resolution and Standard Latency MPEG-2 Superior Quality Ethernet Live Streaming Video Encoder Includes all 4:2:0 MPEG­2 and MPEG-1 firmware options. ,"$9,269.16 "
132-8 ,NAC-3001D ,NAC MPEG-1 Ethernet Live Streaming Video Encoder Includes MPEG-1 firmware ONLY! ,"$4,632.65 "
132-8 ,NAC-3002D ,"NAC™ Ultra Low-Latency (LL), MPEG -2 High Quality Full Resolution Ethernet Live Streaming Video Encoder Includes MPEG-1and LL MPEG-2 firmware ONLY! ","$9,269.16 "
132-8 ,NAC-3003D ,"NAC™ Standard Latency, MPEG -2 Superior Quality Full Resolution Ethernet Live Streaming Video Encoder Includes MPEG-2 and MPEG-1 firmware ONLY! ","$7,723.66 "
132-8 ,NAC-3004D ,NAC™ Ultra Low Latency MPEG -2 High Quality Full Resolution and Standard Latency MPEG-2 Superior Quality Ethernet Live Streaming Video Encode r Includes all 4:2:0 MPEG­2 and MPEG-1 firmware options. ,"$10,041.91 "
132-8 ,NAC-4001 ,NAC™ MPEG-1/MPEG-2 Ethernet Live Streaming Video Receiver ,"$2,314.39 "
132-8 ,NAC-3012 ,Upgrade from 3001 to 3002 ,"$5,409.27 "
132-8 ,NAC-3013 ,Upgrade from 3001 to 3003 ,"$3,863.76 "
132-8 ,NAC-3014 ,Upgrade from 3001 to 3004 ,"$5,795.64 "
132-8 ,NAC-3024 ,Upgrade from 3002 to 3004 ,"$1,545.51 "
132-8 ,NAC-3034 ,Upgrade from 3003 to 3004 ,"$3,091.01 "
,,NAC Peripherals ,
132-8 ,NAC-101 ,Rack mount kit for NAC-3000 & NAC-4000 Fits up to two (2) NAC systems side-by-side per kit. ,$154.55 
132-8 ,C-003-N ,"Audio Connector, XLR male to RCA male ",$13.90 
132-8 ,C-004-N ,"Audio Decoder Cable, DB9 to XLR male, X ft. For NAC-4001 decoder ",$77.28 
132-8 ,C-005-N ,"Audio Connector, XLR female to RCA male ",$13.90 
132-8 ,C-006-N ,"Audio Encoder Cable, DB9 to XLR female, 6 ft. For NAC-3000 Encoders. ",$77.28 
,,OptiVideo Server ,
132-8 ,OV-5001 ,OptiVideo Server for live MPEG stream capture and playback as well as content and system scheduling and management. 1 RU server includes pre-installed OptiVideo Server software and integrated web server for management and scheduling interface for recordin,"$7,723.66 "
,,VS-PRO - Live Streaming Video System ,
132-8 ,VS-2310 ,MPEG-2 1 Channel Full (720H) Resolution Encoder/Transmitter Base System with 10/100Base-T Network Interface.  Supports ALL Network Interface options with 2Mb/s throughput or higher. Includes one Pro Encoder. Also includes 4:2:0 Standard Latency MPEG-2 Sup,"$21,080.69 "
132-8 ,VS-2311 ,MPEG-2 1x1 Full (720H) Resolution CODEC/Transceiver Bas e System with 10/100Base-T Network Interface. Supports ALL Network Interface options with 4Mb/s throughput or higher. Includes one Pro encoder and one Pro decoder. Also includes 4:2:0 Standard Latenc,"$23,012.57 "
132-8 ,VS-2312 ,MPEG-2 1x2 Full (720H) Resolution CODEC/Transceiver Base System with 10/100Base-T Network Interface. Supports ALL Network Interface Options with 6Mb/s throughput or higher.  Includes one Pro Encoder and two Pro Decoders. Also includes 4:2:0 Standard Laten,"$24,944.45 "
132-8 ,VS-2313 ,MPEG-2 1x3 Full (720H) Resolution CODEC/Transceiver Base System with 10/100Base-T Network Interface. Supports ALL Network Interface Options with 6Mb/s throughput or higher. Includes one Pro Encoder and three Pro Decoders. Also includes 4:2:0 Standard Late,"$26,876.33 "
132-8 ,VS-2314 ,"MPEG-2 1x4 Full (720H) Resolution CODEC/Transceiver Base System with 10/100Base-T Network Interface. Supports Network Interface Options with 10Mb/s throughput or higher (Only 1 Network Interface can be supported), except T1/3P, T1/4P, V35/3P, V35/4P.  Inc","$28,808.21 "
132-8 ,VS-2320 ,MPEG-2 2 Channel Full (720H) Resolution Encoder/Transmitter Base System with 10/100Base-T Network Interface.  Supports ALL Network Interface Options with 4 Mb/s or higher throughput. Includes two Pro Encoders. Al so includes 4:2:0 Standard Latency MPEG-2 ,"$34,433.85 "
132-8 ,VS-2321 ,MPEG-2 2x1 Full (720H) Resol ution Encoder/Transmitter Base System with 10/100Base-T Network Interface. Supports ALL Network Interface Options with 6 Mb/s or higher throughput. Includes two Pro Encoders and one Pro Decoder. Also includes 4:2:0 Standard La,"$36,365.73 "
132-8 ,VS-2322 ,MPEG-2 2x2 Full (720H) Resolution Encoder/Transmitter Base System with 10/100Base-T Network Interface. Supports Network Interface Options with 8 Mb/s or higher throughput. (Max 2 Network Interfaces can be supported). Includes two Pro Encoders and two Pro ,"$38,297.61 "
