SIN ,Foundry Part Number ,Product Description,GSA Rate
132-8 ,EIF2402CF ,24-Port 10/100 with 2-Port GbE Combo RJ-45 (Copper) and Mini-GBIC (Fiber) ,"$1,698.95 "
132-8 ,EIF4802CF ,48-Port 10/100 with 2-Port GbE Combo RJ-45 (Copper) and Mini-GBIC (Fiber) ,"$3,246.97 "
132-8 ,EIF24G ,EdgeIron 24-port 10/100/1000 Layer 2 Switch with 4-port mini-GBIC combo slots. ,"$3,866.18 "
132-8 ,E1MG-SX ,"1000BaseSX mini-GBIC optic MMF, LC connector ",$344.43 
132-8 ,E1MG-LX ,"1000BaseLX mini-GBIC optic SMF, LC connector ",$770.13 
132-8 ,E1MG-LHA ,"1000BaseLHA mini-GBIC optic SMF, LC connector ","$4,640.19 "
132-8 ,FES2402 ,24-port 10/100Base-TX (RJ45) plus 2-port 1000Base-T and 1000Base-X (mini-GBIC) with AC power supply ,"$2,318.16 "
132-8 ,FES4802 ,48-port 10/100Base-TX (RJ45) plus 2-port 1000Base-T and 1000Base-X (mini-GBIC) with AC power supply ,"$3,866.18 "
132-8 ,FES9604 ,96-port 10/100Base-TX (RJ45) plus 4-port 1000Base-T and 1000Base-X (mini-GBIC) with AC power supply ,"$7,349.24 "
132-8 ,FES2402-DC ,24-port 10/100Base-TX (RJ45) plus 2-port 1000Base-T and 1000Base-X (mini-GBIC) with -48vDC power supply ,"$2,550.37 "
132-8 ,FES4802-DC ,48-port 10/100Base-TX (RJ45) plus 2-port 1000Base-T and 1000Base-X (mini-GBIC) with -48vDC power supply ,"$4,098.39 "
132-8 ,FES9604-DC ,96-port 10/100Base-TX (RJ45) plus 4-port 1000Base-T and 1000Base-X (mini-GBIC) with -48vDC power supply ,"$7,581.44 "
132-8 ,FES2402-PREM ,24-port 10/100Base-TX (RJ45) plus 2-port 1000Base-T and 1000Base-X (mini-GBIC) with AC power supply ,"$3,479.18 "
132-8 ,FES4802-PREM ,48-port 10/100Base-TX (RJ45) plus 2-port 1000Base-T and 1000Base-X (mini-GBIC) with AC power supply ,"$5,414.20 "
132-8 ,FES9604-PREM ,96-port 10/100Base-TX (RJ45) plus 4-port 1000Base-T and 1000Base-X (mini-GBIC) with AC power supply ,"$10,441.42 "
132-8 ,FES2402-PREM-DC ,24-port 10/100Base-TX (RJ45) plus 2-port 1000Base-T and 1000Base-X (mini-GBIC) with -48vDC power supply ,"$3,711.38 "
132-8 ,FES4802-PREM-DC ,48-port 10/100Base-TX (RJ45) plus 2-port 1000Base-T and 1000Base-X (mini-GBIC) with -48vDC power supply ,"$5,646.41 "
132-8 ,FES9604-PREM-DC ,96-port 10/100Base-TX (RJ45) plus 4-port 1000Base-T and 1000Base-X (mini-GBIC) with -48vDC power supply ,"$10,677.49 "
132-8 ,FES12GCF ,"FastIron Edge 12GCF with L2 and Base L3 SW. Includes 12 Combo GbE ports that includes 10/100/1000 Base-T and mini-GBIC slots for fiber optics (SX, LX, and LHA), and one AC power supply. ","$6,188.22 "
132-8 ,FES12GCF-DC ,"FastIron Edge 12GCF with L2 and Base L3 SW. Includes 12 Combo GbE ports that includes 10/100/1000 Base-T and mini-GBIC slots for fiber optics (SX, LX, and LHA), and one DC power supply. ","$8,123.25 "
132-8 ,FES12GCF-PREM ,"FastIron Edge 12GCF with Full L3 SW. Includes 12 Combo GbE ports that includes 10/100/1000 Base-T and mini-GBIC slots for fiber optics (SX, LX, and LHA), and one AC power supply. ","$7,732.37 "
132-8 ,FES12GCF-PREM-DC ,"FastIron Edge 12GCF with Full L3 SW. Includes 12 Combo GbE ports that includes 10/100/1000 Base-T and mini-GBIC slots for fiber optics (SX, LX, and LHA), and one DC power supply. ","$9,667.41 "
132-8 ,FES2402-POE ,"FastIron Edge 2402-POE with L2/BaseL3 SW and 24 10/100Base-T ports with 2 Combo GbE port that supports copper and fiber connectivity. For fiber, SX (MMF), LX (SMF), and LHA (SMF) SFP optics are supported. Includes one (1) AC PS. ","$3,479.18 "
132-8 ,FES4802-POE ,FastIron Edge 4802-POE with L2/BaseL3 SW and 48 10/100Base-T ports each supporting IEEE 802.3af-compliant Power over Ethernet (PoE) plus 2 Combo GbE port that supports copper and fiber connectivity. Includes one (1) AC PS. ,"$5,801.22 "
132-8 ,FES2402-POE-PREM ,"FastIron Edge 2402-POE with Full Layer 3 SW and 24 10/100Base-T ports that include support for IEEE 802.3af­compliant Power over Ethernet (PoE) with 2 Combo GbE port that supports copper and fiber connectivity. For fiber, SX (MMF), LX (SMF), and LHA (SMF)","$4,636.32 "
132-8 ,FES4802-POE-PREM ,FastIron Edge 4802-POE with Full Layer 3 SW and 48 10/100Base-T ports each supporting IEEE 802.3af-compliant Power over Ethernet (PoE) plus 2 Combo GbE port that supports copper and fiber connectivity. Includes one (1) AC PS. ,"$7,349.24 "
132-8 ,FES3LU-2 ,Layer 3 Upgrade for FES2402 and FES2402-POE ,"$1,239.80 "
132-8 ,FES3LU-4 ,"Layer 3 Upgrade for FES4802,  FES2402, FES4802-POE, and FES2402 ","$1,654.45 "
132-8 ,FES3LU-9 ,"Layer 3 Upgrade for FES9604, FES4802, and FES2402 ","$3,313.04 "
132-8 ,FES12GCF-L3U ,FastIron Edge 12GCF Layer 3 Software upgrade ,"$1,544.14 "
132-8 ,RPS5 ,AC power supply for FastIron Edge Switch Family ,$770.13 
132-8 ,RPS5DC ,-48vDC power supply for FastIron Edge Switch Family ,"$1,002.34 "
132-8 ,RPS8 ,AC power supply for FastIron Edge PoE only ,"$1,157.14 "
132-8 ,E1MG-LHB ,"1000Base-LHB mini-GBIC optic, SMF, LC connector, 150km Maximum reach ","$6,188.22 "
132-8 ,E1MG-SX ,"1000Base-SX mini-GBIC optic, MMF, LC connector ",$344.43 
132-8 ,E1MTG-SX ,"1000Base-SX mini-GBIC optic, MMF, MTRJ connector ",$344.43 
132-8 ,E1MG-LHA ,"1000Base-LHA mini-GBIC optic, SMF, LC connector ","$4,640.19 "
132-8 ,FWS4802 ,48-port 10/100Base-TX (RJ45) & 2 unpopulated 1000Base-X (mini-GBIC) slots and AC power supply ,"$6,962.23 "
132-8 ,FWS4802DC ,48-port 10/100Base-TX (RJ45) & 2 unpopulated 1000Base-X (mini-GBIC) slots and single -48vDC power supply ,"$7,194.44 "
132-8 ,FWS4802-UP ,Layer 3 Upgrade for FWS4802 (includes software and prom) ,"$1,654.45 "
132-8 ,E1MG-LX ,"1000Base-LX mini-GBIC optic, SMF, LC connector ",$770.13 
132-8 ,FWS4802-PREM ,48-port 10/100Base-TX (RJ45) & 2 unpopulated 1000Base-X (mini-GBIC) slots and AC power supply ,"$8,506.38 "
132-8 ,FWS4802DC-PREM ,48-port 10/100Base-TX (RJ45) & 2 unpopulated 1000Base-X (mini-GBIC) slots and single -48vDC power supply ,"$8,738.59 "
