SIN ,Part Number,PNo. of Tubes,Application or Rating,Description ,(Non-) Standard,Min. Order,Std Length,U/M,GSA Rate
132-8 ,TC01TGX ,1,Indoor / General Purpose ,UL/CUL OFN Rated Tube ,S ,"3,000","1,000",ft. ,$0.47 
132-8 ,TC02TGX ,2,Indoor / General Purpose ,UL/CUL OFN Rated Tube - Speed Wrapped ,N ,"10,000","1,000",ft. ,$1.08 
132-8 ,TC07TGX ,7,Indoor / General Purpose ,UL/CUL OFN Rated Tube - Speed Wrapped ,N ,"10,000","1,000",ft. ,$2.38 
132-8 ,TC19TGX ,19,Indoor / General Purpose ,UL/CUL OFN Rated Tube - Speed Wrapped ,N ,"10,000","1,000",ft. ,$6.11 
132-8 ,TC02TRX ,2,Indoor / Riser ,UL/CUL OFNR Rated Tube Cable ,S ,"5,000","1,000",ft. ,$1.81 
132-8 ,TC03TRX ,3,Indoor / Riser ,UL/CUL OFNR Rated Tube Cable ,S ,"2,000","1,000",ft. ,$2.21 
132-8 ,TC07TRX ,7,Indoor / Riser ,UL/CUL OFNR Rated Tube Cable ,S ,"5,000","1,000",ft. ,$2.79 
132-8 ,TC19TRX ,19,Indoor / Riser ,UL/CUL OFNR Rated Tube Cable ,S ,"10,000","1,000",ft. ,$6.62 
132-8 ,TC01TPX ,1,Indoor / Plenum ,UL/CUL OFNP Rated Tube ,S ,"20,000","1,000",ft. ,$0.85 
132-8 ,TC02TPX ,2,Indoor / Plenum ,UL/CUL OFNP Rated Tube Cable - Speed Wrapped ,S ,"3,000","1,000",ft. ,$2.05 
132-8 ,TC03TPX ,3,Indoor / Plenum ,UL/CUL OFNP Rated Tube Cable - Speed Wrapped ,S ,"2,000","1,000",ft. ,$2.75 
132-8 ,TC07TPX ,7,Indoor / Plenum ,UL/CUL OFNP Rated Tube Cable - Speed Wrapped ,S ,"3,000","1,000",ft. ,$6.43 
132-8 ,TC19TPX ,19,Indoor / Plenum ,UL/CUL OFNP Rated Tube Cable - Speed Wrapped ,S ,"3,000","1,000",ft. ,$24.41 
132-8 ,TC03TPA ,3,Indoor / Plenum ,UL/CUL OFNP Rated Tube Cable - Interlocked Armor ,N ,"5,000",500,ft. ,$8.41 
132-8 ,TC07TPA ,7,Indoor / Plenum ,UL/CUL OFNP Rated Tube Cable - Interlocked Armor ,N ,"5,000",500,ft. ,$13.32 
132-8 ,TC19TPA ,19,Indoor / Plenum ,UL/CUL OFNP Rated Tube Cable - Interlocked Armor ,N ,"5,000",500,ft. ,$32.45 
