,,"ST-ST Cable Assemblies: ",
"132-8 ","6S01TMCTMC003MO ","3Mtr. SX MM 62.5um ST-ST OFNR ","$9.04 "
"132-8 ","6S01TMCTMC005MO ","5Mtr. SX MM 62.5um ST-ST OFNR ","$10.86 "
"132-8 ","6Z02TMCTMC001MO ","1Mtr. DX MM 62.5um ST-ST OFNR ","$15.40 "
"132-8 ","6Z02TMCTMC003MO ","3Mtr. DX MM 62.5um ST-ST OFNR ","$17.22 "
"132-8 ","6Z02TMCTMC005MO ","5Mtr. DX MM 62.5um ST-ST OFNR ","$19.04 "
"132-8 ","5S01TMCTMC001MO ","1Mtr. SX MM 50um ST-ST OFNR ","$8.13 "
"132-8 ","5S01TMCTMC003MO ","3Mtr. SX MM 50um ST-ST OFNR ","$9.04 "
"132-8 ","5S01TMCTMC005MO ","5Mtr. SX MM 50um ST-ST OFNR ","$10.86 "
"132-8 ","5Z02TMCTMC001MO ","1Mtr. DX MM 50um ST-ST OFNR ","$15.40 "
"132-8 ","5Z02TMCTMC003MO ","3Mtr. DX MM 50um ST-ST OFNR ","$17.22 "
"132-8 ","5Z02TMCTMC005MO ","5Mtr. DX MM 50um ST-ST OFNR ","$19.04 "
"132-8 ","9S01TUCTUC001MY ","1Mtr. SX SM 9um ST-ST OFNR ","$13.58 "
"132-8 ","9S01TUCTUC003MY ","3Mtr. SX SM 9um ST-ST OFNR ","$14.50 "
"132-8 ","9S01TUCTUC005MY ","5Mtr. SX SM 9um ST-ST OFNR ","$15.40 "
"132-8 ","9Z02TUCTUC001MY ","1Mtr. DX SM 9um ST-ST OFNR ","$26.31 "
"132-8 ","9Z02TUCTUC003MY ","3Mtr. DX SM 9um ST-ST OFNR ","$28.13 "
"132-8 ","9Z02TUCTUC005MY ","5Mtr. DX SM 9um ST-ST OFNR ","$29.94 "
,,"ST-SC Cable Assemblies: ",
"132-8 ","6S01CMCTMC001MO ","1Mtr. SX MM 62.5um SC-ST OFNR ","$9.04 "
"132-8 ","6S01CMCTMC003MO ","3Mtr. SX MM 62.5um SC-ST OFNR ","$10.86 "
"132-8 ","6S01CMCTMC005MO ","5Mtr. SX MM 62.5um SC-ST OFNR ","$11.77 "
"132-8 ","6Z02CMCTMC001MO ","1Mtr. DX MM 62.5um SC-ST OFNR ","$17.22 "
"132-8 ","6Z02CMCTMC003MO ","3Mtr. DX MM 62.5um SC-ST OFNR ","$19.04 "
"132-8 ","6Z02CMCTMC005MO ","5Mtr. DX MM 62.5um SC-ST OFNR ","$20.86 "
"132-8 ","5S01CMCTMC001MO ","1Mtr. SX MM 50um SC-ST OFNR ","$9.04 "
"132-8 ","5S01CMCTMC003MO ","3Mtr. SX MM 50um SC-ST OFNR ","$10.86 "
"132-8 ","5S01CMCTMC005MO ","5Mtr. SX MM 50um SC-ST OFNR ","$11.77 "
"132-8 ","5Z02CMCTMC001MO ","1Mtr. DX MM 50um SC-ST OFNR ","$17.22 "
"132-8 ","5Z02CMCTMC003MO ","3Mtr. DX MM 50um SC-ST OFNR ","$19.04 "
"132-8 ","5Z02CMCTMC005MO ","5Mtr. DX MM 50um SC-ST OFNR ","$20.86 "
"132-8 ","9S01CUCTUC001MY ","1Mtr. SX SM 9um SC-ST OFNR ","$14.50 "
"132-8 ","9S01CUCTUC003MY ","3Mtr. SX SM 9um SC-ST OFNR ","$15.40 "
"132-8 ","9S01CUCTUC005MY ","5Mtr. SX SM 9um SC-ST OFNR ","$16.31 "
"132-8 ","9Z02CUCTUC001MY ","1Mtr. DX SM 9um SC-ST OFNR ","$27.21 "
"132-8 ","9Z02CUCTUC003MY ","3Mtr. DX SM 9um SC-ST OFNR ","$29.04 "
"132-8 ","9Z02CUCTUC005MY ","5Mtr. DX SM 9um SC-ST OFNR ","$30.85 "
,,,
,,"SC-SC Cable Assemblies: ",
"132-8 ","6S01CMCCMC001MO ","1Mtr. SX MM 62.5um SC-SC OFNR ","$10.86 "
"132-8 ","6S01CMCCMC003MO ","3Mtr. SX MM 62.5um SC-SC OFNR ","$11.77 "
"132-8 ","6S01CMCCMC005MO ","5Mtr. SX MM 62.5um SC-SC OFNR ","$12.67 "
"132-8 ","6Z02CMCCMC001MO ","1Mtr. DX MM 62.5um SC-SC OFNR ","$21.76 "
"132-8 ","6Z02CMCCMC003MO ","3Mtr. DX MM 62.5um SC-SC OFNR ","$23.59 "
"132-8 ","6Z02CMCCMC005MO ","5Mtr. DX MM 62.5um SC-SC OFNR ","$25.40 "
"132-8 ","5S01CMCCMC001MO ","1Mtr. SX MM 50um SC-SC OFNR ","$10.86 "
"132-8 ","5S01CMCCMC003MO ","3Mtr. SX MM 50um SC-SC OFNR ","$11.77 "
"132-8 ","5S01CMCCMC005MO ","5Mtr. SX MM 50um SC-SC OFNR ","$12.67 "
"132-8 ","5Z02CMCCMC001MO ","1Mtr. DX MM 50um SC-SC OFNR ","$21.76 "
"132-8 ","5Z02CMCCMC003MO ","3Mtr. DX MM 50um SC-SC OFNR ","$23.59 "
