"132-8 ","AT-34E12S6-004 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 4 Fibers ",,,"$0.17 "
"132-8 ","AT-34E12S6-006 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 6 Fibers ",,,"$0.19 "
"132-8 ","AT-34E12S6-008 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 8 Fibers ",,,"$0.20 "
"132-8 ","AT-34E12S6-012 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 12 Fibers ",,,"$0.23 "
"132-8 ","AT-34E12S6-016 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 16 Fibers ",,,"$0.27 "
"132-8 ","AT-34E12S6-018 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 18 Fibers ",,,"$0.28 "
"132-8 ","AT-34E12S6-020 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 20 Fibers ",,,"$0.31 "
"132-8 ","AT-34E12S6-024 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 24 Fibers ",,,"$0.33 "
"132-8 ","AT-34E12S6-030 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 30 Fibers ",,,"$0.39 "
"132-8 ","AT-34E12S6-036 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 36 Fibers ",,,"$0.43 "
"132-8 ","AT-34E12TT-048 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 48 Fibers ",,,"$0.51 "
"132-8 ","AT-34E12TT-060 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 60 Fibers ",,,"$0.61 "
"132-8 ","AT-34E12TT-072 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 72 Fibers ",,,"$0.72 "
"132-8 ","AT-34E12TT-084 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 84 Fibers ",,,"$0.83 "
"132-8 ","AT-34E12TT-096 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 96 Fibers ",,,"$0.93 "
"132-8 ","AT-34E12TT-108 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 108 Fibers ",,,"$1.05 "
"132-8 ","AT-34E12TT-120 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 120 Fibers ",,,"$1.17 "
"132-8 ","AT-34E12TT-132 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 132 Fibers ",,,"$1.28 "
"132-8 ","AT-34E12TT-144 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 144 Fibers ",,,"$1.37 "
"132-8 ","AT-34E12TT-156 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 156 Fibers ",,,"$1.49 "
"132-8 ","AT-34E12TT-168 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 168 Fibers ",,,"$1.60 "
"132-8 ","AT-34E12TT-180 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 180 Fibers ",,,"$1.72 "
"132-8 ","AT-34E12TT-192 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 192 Fibers ",,,"$1.83 "
